run_num,t_f,th_f,th_goal,x_f,x_goal,y_f,y_goal
1,,-0.017453299999999998,0.0,1.04,1.0,0.045,0.0
2,,-0.0698,0.0,1.03,1.0,-0.02,0.0
3,,-0.034906599999999996,0.0,1.04,1.0,-0.012,0.0
4,,0.0,0.0,1.032,1.0,-0.015,0.0
5,,-0.139626,0.0,1.032,1.0,0.01,0.0
6,,-0.10472,0.0,1.035,1.0,0.004,0.0
7,,-0.05235990000000002,0.0,1.03,1.0,-0.005,0.0
8,,-0.10472,0.0,1.028,1.0,-0.006999999999999999,0.0
9,,-0.15708,0.0,1.035,1.0,-0.027999999999999997,0.0
10,,-0.139626,0.0,1.045,1.0,0.012,0.0
11,,-0.27925300000000003,0.0,2.11,2.0,-0.01,0.0
12,,-0.0349066,0.0,2.095,2.0,-0.065,0.0
13,,0.034906599999999996,0.0,2.095,2.0,-0.01,0.0
14,,-0.06981319999999999,0.0,2.09,2.0,-0.025,0.0
15,,-0.05235990000000001,0.0,2.15,2.0,-0.07,0.0
16,,-0.0174533,0.0,2.1,2.0,-0.065,0.0
